weekstr,date,023406156015ef87f99521f3b343f71f,025943df23acf5d3863b35fa6e0d79ec,03c6699ea836decbc5c8fc2dbae7bd3b,099cd99056bf92e5f0e384465890a804,0c80008b0a28d356026f4b1097041689,1339f978614ff19cd48f07e5420556d4,1731019fbaa825714d5f8e61ad1bb7ff,25739ad1c56a511fcac86018ac4e49bb,28e32be6ba67e0c6fdfdff80ce07dfd4,2b7fedeea967becd9408b896de8ff903,2e14d32266ee6b4678595f8f50c369ac,2ec1450a1389d4e3fc2a9a76c9378bb3,33fd0a2cfcfd24e114707bba71ca1de9,34bc4bc49a725f2686a5cf9c89985798,3964ee41d4e2ade1957a9135afe1b8dc,3e395c6b799d3d8cb7cd501b4503b536,40bbb0da5570702dd6ff3af5e9e3aea6,445a257964b9689f115a69e8cc5dcb75,4b8eb68442432c242e9242be040bacf9,4ee3f9c90101073c99d5440b41f07daa,4f3f68292e50f39cd8142733512c07d6,53dd7de874e0999634c28cdd94d21257,5e2ef5473cbbdb335f6d51dc57845437,61dfd882204789d7d0f70fee2b901cef,6a493121e53d83f9e119b02942d7c8fe,6bb4c3bbdb6f5a96d643320c6b6005f5,6f462b173b2d6d20a2c9fb1ec0fd2dda,7e0db58c13d033dafe5f5e1e70ff7eb4,82fda1f850a9fe22e41b5c8dadaff4ac,8da51d03b8b8717431e8b902856fb45e,8f29cbc2a555034643d66f9e83dd7a7a,8fb3cef29f2c266af4c9ecef3b780e97,97de6333157f35467dff271d7afb0a23,9e58afbf3fea116b0050bf56bfb4442e,9f69ffd8852196e02cfa19b5cd9bc432,ac43c6ce2f9df4adfbb05edd97cecbcc,b6a175a48743caed6d035444c069ab64,b7522cc91cf57ada15de2298bfd6a3ee,be0c7a23c2aa9afb45163995b9ec938c,bf21d16799b240d6e445fa30472bd50b,c026b84e8f23a7741d9b670e3d8973f0,c5eac1d455675dfbc99f6c70f7b3971f,c5f0170f87a2fbb17bf65dc858c745e2,ca6db6d4f02b7b946c57fc389e67dd7e,d773376e46311393cd89994bf9a93043,e087f8842fe66efa5ccee42ff791e0ca,e6e2fff03cc32ee9777de2c2ed5bac30,f5a5373f30de984e9142a206f94a2f46,f6e0f05fde7637afb8f8bc6bda74ca24,ffd47cf9cb66d226575336f0fa42ae25
Saturday,2015/8/1,598,512,1112,1258,295,93,384,249,107,2,2224,876,160,204,674,1002,735,179,2224,30,536,152,697,44,324,738,369,1066,131,824,77,4832,415,559,127,794,128,936,831,13,3674,42,4282,603,533,120,234,158,124,176
Sunday,2015/8/2,461,442,1276,1172,254,100,333,146,173,5,2070,762,112,284,509,873,1080,156,2431,23,736,126,658,32,331,624,400,779,181,791,68,4331,316,454,137,864,106,761,667,11,3381,36,3096,644,473,102,217,140,110,63
Monday,2015/8/3,555,339,957,1467,289,69,446,268,230,13,2336,766,135,101,540,1118,808,204,2674,41,552,124,754,32,361,776,380,939,210,806,131,6128,256,736,140,866,164,783,815,12,4333,22,3696,444,729,134,273,164,172,59
Tuesday,2015/8/4,743,426,794,1228,222,77,411,182,242,12,2286,838,169,205,512,836,885,196,2143,34,552,131,797,65,532,808,341,984,193,876,87,5345,365,522,186,973,124,691,922,28,3659,286,3735,508,696,175,249,131,158,56
Wednesday,2015/8/5,481,419,810,1243,282,105,376,262,191,11,2309,936,151,231,676,1054,907,198,2634,22,738,113,781,52,348,818,497,1140,207,1004,93,5122,349,484,124,854,141,643,756,19,3642,49,3744,504,748,107,248,188,164,285
Thursday,2015/8/6,683,291,786,1288,256,82,397,233,161,27,2449,879,211,133,492,765,1103,199,2796,30,637,141,784,33,251,665,371,1200,185,1058,222,4849,311,417,148,963,136,589,815,13,2986,29,3497,566,769,77,296,135,157,117
Friday,2015/8/7,570,305,829,1145,274,92,398,239,264,9,2700,871,138,234,523,966,905,187,2308,32,507,183,707,46,241,673,439,1105,181,981,183,4730,311,653,165,1129,155,667,571,9,2853,60,3783,535,561,74,231,140,138,126
Saturday,2015/8/8,465,360,739,1205,295,56,373,193,199,10,2605,986,111,191,535,2018,1026,209,2122,51,564,149,622,72,356,618,271,1159,198,878,117,4084,235,400,95,748,127,591,869,11,2628,253,3306,529,579,122,304,134,157,109
Sunday,2015/8/9,546,297,797,1206,257,67,374,197,191,10,2254,917,149,205,400,1958,878,208,2427,37,791,142,714,45,294,711,322,943,291,999,198,4079,379,479,166,1158,108,596,851,16,2598,52,3097,430,556,131,240,148,182,90
Monday,2015/8/10,503,201,1059,1215,275,55,383,394,241,11,2573,892,138,183,521,1478,959,227,2015,39,617,125,683,54,407,650,313,960,230,1042,215,3818,319,521,189,958,170,514,857,22,2958,19,3470,543,648,87,209,157,180,64
Tuesday,2015/8/11,530,277,887,1149,233,62,445,278,225,6,2279,1017,182,190,648,1323,1083,211,2349,33,614,127,696,44,383,817,377,1013,160,1081,197,3781,293,468,212,1036,175,620,971,19,3644,67,3778,569,577,74,319,171,164,57
Wednesday,2015/8/12,442,333,1015,1203,249,112,577,221,220,4,2692,839,208,142,632,1116,1054,228,2751,39,726,316,712,61,317,657,316,1066,149,1014,224,3913,294,586,186,998,161,698,836,34,3127,90,3425,542,598,104,294,200,200,90
Thursday,2015/8/13,452,272,1446,1035,237,64,457,169,231,3,2180,769,172,145,487,983,957,174,2337,30,934,287,752,51,246,674,346,1049,204,932,192,3946,324,542,152,845,130,756,713,18,2541,45,3347,405,574,120,214,139,267,74
Friday,2015/8/14,566,277,1234,1045,241,79,472,209,250,8,2236,925,139,175,698,940,1022,153,2463,16,728,296,797,57,309,714,337,1127,166,1035,305,3655,330,788,144,978,146,524,751,28,2653,62,3145,655,597,55,234,170,134,75
Saturday,2015/8/15,411,242,1055,1091,260,69,451,152,174,11,2172,1042,152,195,487,1078,991,150,2469,44,677,184,797,54,385,787,273,883,111,1063,249,2962,432,452,163,878,117,501,865,19,2278,72,3034,656,632,58,271,162,151,82
Sunday,2015/8/16,444,237,894,1025,221,81,456,205,171,11,2365,960,144,144,488,1069,934,168,2806,24,726,164,609,55,437,942,361,1094,126,1064,115,2769,229,552,146,873,119,579,702,10,2449,68,2952,865,573,56,248,225,131,55
Monday,2015/8/17,449,221,1659,1327,305,69,463,257,216,19,2497,868,169,149,600,959,1006,262,2376,29,698,269,737,50,505,632,334,1016,124,965,127,3621,353,560,159,1012,158,572,958,28,2270,15,3251,881,632,110,234,169,146,104
